wilaya_id,wilaya,pop_0_4_ans,pop_5_9_ans,pop_10_14_ans,pop_15_19_ans,pop_20_24_ans,pop_25_29_ans,pop_30_34_ans,pop_35_39_ans,pop_40_44_ans,pop_45_49_ans,pop_50_54_ans,pop_55_59_ans,pop_60_64_ans,pop_65_69_ans,pop_70_74_ans,pop_75_79_ans,pop_80_84_ans,pop_sup_84_ans,pop_nd,masculin,feminin,rural_2008,urbain_2008,acl,as,epars,habitant_par_km2_1998,pop_total,taux_accroissement_urbain,taux_accroissement_rural,taux_accroissement_total,retraite,pensionne,specialite_homme,specialite_femme,generaliste_homme,generaliste_femme,chir_dentiste_homme,chir_dentiste_femme,pharmacien_homme,pharmacien_femme,structure_hospitalisation,salle_consultation_et_soins,centre_sante,polyclinique,lits_techniques_2006,lits_organises_2006,tracho_me,kyste_hydatique,geole_rou_geole,lose_brucel_lose,hepatite_virale_a,hepatite_virale_b,hepatite_virale_c,coque_luche,dysen_terie,typh-oide,leishmaniose_cutanee,menin_gite
25,CONSTANTINE,85791.49831,70903.37208,83922.89675,97622.17235,100516.6543,88455.48677,74164.84383,66857.75327,61860.26955,51593.03876,43524.9934,32726.68569,22841.26044,19628.61596,16134.75847,11628.13736,6121.988426,3802.174458,378.2849422,470262.0269,468212.8582,101497,836977,717646,178700,42129,370.8,938474.8851,1.73,-0.28,1.500380753,44877.09684,10066.68327,37,75,86,269,38,170,1,7,4,42,26,18,564,616,0,16,9,10,11,27,15,0,7,18,4,152
26,MEDEA,80215.95011,65593.00651,79682.00531,92493.97353,94890.44865,87457.91893,68192.38025,57014.66723,44767.18826,37173.44195,30135.63328,22890.70117,16240.81676,14705.72586,11802.72646,8245.088447,4180.551646,3073.118824,1176.594308,417559.2809,402372.6566,398304,421628,519383,56638,243911,90.5,819931.9375,2.88,-1.98,0.2246707,21423.35697,9179.919023,41,37,159,136,34,73,1,1,6,135,30,9,1.294,1.048,0,26,44,80,6,53,29,0,0,19,134,134
27,MOSTAGANEM,72771.1338,62396.38155,70120.65483,79163.44785,85986.66619,77108.12469,59495.94764,49110.40167,41957.63868,36423.11001,29306.99604,22265.94886,15246.13179,13275.67651,10385.52884,6851.553139,2938.684402,2047.683629,266.5209309,370017.8972,367100.3339,456176,280943,338143,98394,300581,290.1,737118.2311,2.47,1.06,1.596215236,23414.21498,8102.61189,59,42,106,105,26,51,0,1,3,126,16,8,1.239,1.069,0,0,65,4,27,11,10,0,67,10,2,11
28,M SILA,113373.7804,96101.09608,108430.1884,119551.4199,117180.4023,98592.98257,74241.77944,58261.14792,46862.31818,42396.84248,33236.77857,24673.64913,15137.15039,14167.12335,11730.13738,8567.856621,4613.980679,3313.397263,158.6376497,504683.9087,485906.7599,372252,618338,666848,125033,198710,43,990590.6686,4.16,-0.5,2.130581506,20397.22022,6469.754508,42,14,96,100,18,31,0,2,5,180,31,13,1.165,1.036,0,11,18,644,1,238,5,0,0,6,2244,33
29,MASCARA,81336.33035,66472.26506,73112.59233,76248.03656,84106.56235,79456.62233,66276.6781,55497.04042,46427.4255,37264.30555,31888.91952,25268.92745,17453.45985,15821.54736,12160.40318,7931.465385,3672.179698,2792.093405,886.5337031,398767.0725,385306.3156,340203,443871,513432,138157,132485,113.8,784073.3881,2.35,0.5,1.520366971,26642.51309,11227.64743,54,48,197,126,36,52,0,4,8,155,28,11,1.671,1.65,0,5,8,15,62,38,19,0,2,10,6,91
30,OUARGLA,68490.82139,59934.06221,64340.5917,66312.16873,63349.65845,54281.70946,39180.54981,33171.704,27180.04973,23821.2544,17472.1207,11603.74117,8497.998696,7046.925514,5316.184595,3866.3472,2029.817129,1714.263269,952.7826319,283391.9679,275170.7829,98190,460368,473543,68983,16032,2.1,558562.7508,3.29,-1.24,2.329497875,11703.44497,3149.172125,46,32,85,87,20,26,1,2,5,72,20,7,903,789,2,2,89,3,3,63,9,5,57,5,89,51
31,ORAN,141883.3743,116975.4066,126216.6458,131799.2756,145234.9381,141102.6594,124164.7404,110063.5266,99681.36311,79945.23264,66202.91882,52377.42347,35057.34289,29529.07162,23456.17353,15290.46605,7197.00745,5214.826617,1759.277393,727765.0911,725386.5794,110179,1343899,1165687,259943,28448,572.3,1453151.67,2.39,-2.86,1.851246025,71760.85796,16045.13131,87,140,204,334,103,232,0,4,6,58,55,18,696,437,9,2,256,3,14,5,1,0,59,3,1,94
32,EL BAYADH,26357.79161,23498.47363,24351.81455,23793.36609,23646.46668,21887.32854,18322.61481,15484.78513,12606.83552,9024.41457,7761.559274,5914.528853,3804.072239,3880.687931,2972.76769,2303.672622,1352.727425,1377.555144,282.1991014,115449.0714,113174.59,83982,144642,192958,10302,25363,2.1,228623.6614,4.6,1.02,3.141377951,4956.358496,4439.740384,17,14,49,52,14,18,1,0,3,51,12,4,404,428,0,3,12,242,2,19,7,0,0,1,148,27
33,ILLIZI,7563.43506,6176.261642,5456.237205,5340.084389,5433.954491,5349.959969,4290.351327,3477.635537,2722.098342,2082.707735,1316.269421,892.615003,677.0887878,548.2374441,358.3058673,252.6710814,135.0601989,114.6878962,144.9453955,28244.46661,24088.14018,23399,28934,32502,15580,4250,0.1,52332.60679,9.09,0.75,4.460402183,756.2068524,114.1735782,7,10,31,20,13,2,0,0,2,33,3,4,156,164,124,2,27,0,2,27,5,0,1,0,1,2
34,B.B.ARRERIDJ,64451,53458,63519,74332,74825,64965,48966,39155,32360,28765,22560,18197,10999,10232,9061,6650,3448,2186,346,320786,307689,239215,389260,422986,125979,79510,135,628475,4.5,-2.37,1.267951564,22183,5673,29,24,63,102,6,37,0,0,4,125,31,10,723,625,0,10,28,25,9,42,3,2,0,3,105,279
